post_id,rugby_ignite_url,team_a,team_b,date,season,home_points,away_points,match_status,competition_name
1331,https://rugbyignite.co.za/fixture/2025/hoerskool-randburg-vs-hoerskool-eldoraigne/,Hoërskool Randburg,Hoërskool Eldoraigne,2025-05-31,2025,19,34,migrated,
1332,https://rugbyignite.co.za/fixture/2025/hoerskool-randburg-vs-merensky-landbou-akademie/,Hoërskool Randburg,Merensky Landbou Akademie,2025-07-26,2025,29,29,migrated,
1333,https://rugbyignite.co.za/fixture/2025/st-johns-college-vs-king-edward-vii-school/,St John’s College,King Edward VII School,2025-03-15,2025,15,17,migrated,
1334,https://rugbyignite.co.za/fixture/2025/graeme-college-vs-st-johns-college/,Graeme College,St John’s College,2025-03-22,2025,39,24,migrated,
1335,https://rugbyignite.co.za/fixture/2025/st-johns-college-vs-hilton-college/,St John’s College,Hilton College,2025-04-17,2025,5,29,migrated,
1336,https://rugbyignite.co.za/fixture/2025/st-johns-college-vs-jeppe-high-school-for-boys/,St John’s College,Jeppe High School For Boys,2025-05-17,2025,6,31,migrated,
1337,https://rugbyignite.co.za/fixture/2025/st-johns-college-vs-st-albans-college/,St John’s College,St Alban’s College,2025-06-07,2025,22,34,migrated,
1338,https://rugbyignite.co.za/fixture/2025/st-johns-college-vs-pretoria-boys-high-school/,St John’s College,Pretoria Boys High School,2025-06-14,2025,13,31,migrated,
1339,https://rugbyignite.co.za/fixture/2025/parktown-boys-high-school-vs-st-stithians-college/,Parktown Boys High School,St Stithians College,2025-03-15,2025,24,14,migrated,
1340,https://rugbyignite.co.za/fixture/2025/parktown-boys-high-school-vs-queens-college/,Parktown Boys High School,Queen's College,2025-04-19,2025,15,47,migrated,
1341,https://rugbyignite.co.za/fixture/2025/parktown-boys-high-school-vs-hudson-park-high-school/,Parktown Boys High School,Hudson Park High School,2025-04-21,2026,25,15,migrated,KES Easter Rugby Festival 2025
1342,https://rugbyignite.co.za/fixture/2025/parktown-boys-high-school-vs-st-benedicts-college/,Parktown Boys High School,St Benedict’s College,2025-05-10,2025,31,18,migrated,
1343,https://rugbyignite.co.za/fixture/2025/parktown-boys-high-school-vs-st-johns-college/,Parktown Boys High School,St John’s College,2025-05-31,2025,19,14,migrated,
1344,https://rugbyignite.co.za/fixture/2025/glenwood-high-school-vs-parktown-boys-high-school/,Glenwood High School,Parktown Boys High School,2025-08-02,2025,53,10,migrated,
1345,https://rugbyignite.co.za/fixture/2025/parktown-boys-high-school-vs-jeppe-high-school-for-boys/,Parktown Boys High School,Jeppe High School For Boys,2025-08-09,2025,13,22,migrated,
1346,https://rugbyignite.co.za/fixture/2025/st-benedicts-college-vs-st-albans-college/,St Benedict’s College,St Alban’s College,2025-03-15,2025,10,39,migrated,
1347,https://rugbyignite.co.za/fixture/2025/st-benedicts-college-vs-st-stithians-college/,St Benedict’s College,St Stithians College,2025-03-20,2025,12,53,migrated,
1348,https://rugbyignite.co.za/fixture/2025/st-benedicts-college-vs-st-johns-college/,St Benedict’s College,St John’s College,2025-05-24,2025,0,17,migrated,
1349,https://rugbyignite.co.za/fixture/2025/witteberg-hoerskool-vs-wesvalia/,Witteberg Hoerskool,Wesvalia,2025-03-01,2025,22,7,migrated,
1350,https://rugbyignite.co.za/fixture/2025/witteberg-hoerskool-vs-hoerskool-rustenburg/,Witteberg Hoerskool,Hoërskool Rustenburg,2025-03-08,2025,25,27,migrated,
1351,https://rugbyignite.co.za/fixture/2025/witteberg-hoerskool-vs-hoerskool-fichardtpark/,Witteberg Hoerskool,Hoërskool Fichardtpark,2025-03-22,2025,40,3,migrated,
1352,https://rugbyignite.co.za/fixture/2025/goudveld-hoerskool-vs-witteberg-hoerskool/,Goudveld Hoërskool,Witteberg Hoerskool,2025-05-10,2025,38,17,migrated,
1353,https://rugbyignite.co.za/fixture/2025/witteberg-hoerskool-vs-welkom-gimnasium/,Witteberg Hoerskool,Welkom Gimnasium,2025-05-24,2025,24,22,migrated,
